CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
2063653,17000288673,2017288673,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,8/6/17 1:19,2XX BLOCK OF W HIGHLAND DR,Q,Q3,7000.6002,-122.35988,47.629585,"(47.629585, -122.35988)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,8/5/17 21:19
1968029,17000114111,2017114111,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",4/1/17 17:07,117XX BLOCK OF 26 AV NE,L,L1,700.2006,-122.3003,47.71488,"(47.71488, -122.3003)",TRU - THREATS,"THREATS, HARASSMENT","THREATS, HARASSMENT",
2039490,17000245270,2017245270,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,7/6/17 21:15,120XX BLOCK OF AURORA AV N,N,N2,402.2007,-122.344894,47.717175,"(47.717175, -122.344894)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,7/6/17 20:29
1968069,17000113971,2017113971,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,4/1/17 18:05,15XX BLOCK OF 10 AV,E,E2,7500.4015,-122.31946,47.614666,"(47.614666, -122.31946)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,4/1/17 14:09
1910724,17000004401,20174401,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",1/4/17 23:06,BEACON AV S / 53 AV S,S,S3,11900.4014,-122.26773,47.50061,"(47.50061, -122.26773)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",1/4/17 17:35
1956775,17000093526,201793526,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,3/16/17 15:34,4XX BLOCK OF NE NORTHGATE WY,L,L2,1200.401,-122.324615,47.708603,"(47.708603, -122.324615)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,
1991620,17000157792,2017157792,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,5/5/17 22:19,3 AV / PINE ST,M,M3,8100.2006,-122.3387,47.610744,"(47.610744, -122.3387)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,5/5/17 20:12
2003309,17000179457,2017179457,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",5/21/17 18:51,15XX BLOCK OF WESTERN AV,M,M1,8100.301,-122.34158,47.608856,"(47.608856, -122.34158)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",5/21/17 17:38
2015288,17000201420,2017201420,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",6/5/17 19:48,89XX BLOCK OF AURORA AV N,N,N3,1800.2003,-122.34456,47.693825,"(47.693825, -122.34456)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",6/5/17 19:21
1979904,17000136219,2017136219,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,4/19/17 7:07,NE 43 ST / 9 AV NE,U,U2,5200.501,-122.31879,47.659454,"(47.659454, -122.31879)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,4/19/17 3:43
2015267,17000201011,2017201011,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",6/5/17 19:16,48XX BLOCK OF SAND POINT WY NE,U,U3,4100.4008,-122.28316,47.66458,"(47.66458, -122.28316)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",6/5/17 17:57
2039356,17000245230,2017245230,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,7/6/17 18:19,6XX BLOCK OF EASTLAKE AV E,D,D3,7300.1006,-122.32916,47.6247,"(47.6247, -122.32916)",OVERDOSE - DRUG RELATED CASUALTY,PERSON DOWN/INJURY,CASUALTIES,
2003313,17000179613,2017179613,291,PERSON WITH A GUN,GUN CALLS,WEAPONS CALLS,5/21/17 19:24,N 102 ST / FREMONT AV N,J,J1,1701.3011,-122.35005,47.702892,"(47.702892, -122.35005)","WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",WEAPONS CALLS,WEAPONS CALLS,
2003323,17000179405,2017179405,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,5/21/17 19:14,5 AV / BLANCHARD ST,D,D2,7200.1055,-122.341774,47.615265,"(47.615265, -122.341774)",DOWN - CHECK FOR PERSON DOWN,PERSON DOWN/INJURY,CASUALTIES,5/21/17 15:42
2063626,17000288849,2017288849,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,8/6/17 1:03,15XX BLOCK OF 10 AV,E,E2,7500.4014,-122.31946,47.614666,"(47.614666, -122.31946)",PROPERTY - DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,8/5/17 23:34
1980231,17000136980,2017136980,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,4/19/17 19:13,51XX BLOCK OF S KENYON ST,S,S2,11800.6,-122.26848,47.531586,"(47.531586, -122.26848)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,4/19/17 16:42
2063632,17000288500,2017288500,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",8/6/17 1:01,1 AV W / W HOWE ST,Q,Q2,6800.2007,-122.3583,47.635956,"(47.635956, -122.3583)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,8/5/17 20:49
2063720,17000288958,2017288958,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,8/6/17 3:20,113XX BLOCK OF LAKE CITY WY NE,L,L1,1100.1,-122.299995,47.71123,"(47.71123, -122.299995)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,8/6/17 1:23
1991613,17000157899,2017157899,292,PERSON WITH A WEAPON (NOT GUN),WEAPONS CALLS,WEAPONS CALLS,5/5/17 22:08,10XX BLOCK OF E PIKE ST,E,E2,7500.4017,-122.318794,47.61409,"(47.61409, -122.318794)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,5/5/17 21:37
2015414,17000201457,2017201457,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,6/5/17 22:26,88XX BLOCK OF RAINIER AV S,S,S2,11800.4,-122.26998,47.52474,"(47.52474, -122.26998)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,6/5/17 20:14
1991812,17000158225,2017158225,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,5/6/17 2:42,6XX BLOCK OF 3 AV,K,K1,8100.204,-122.33173,47.603127,"(47.603127, -122.33173)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,5/6/17 1:55
2027491,17000223564,2017223564,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,6/21/17 17:57,2XX BLOCK OF UNIVERSITY ST,M,M3,8100.2016,-122.33653,47.607533,"(47.607533, -122.33653)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,6/21/17 15:25
2003483,17000179573,2017179573,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,5/21/17 22:35,75XX BLOCK OF 24 AV NW,J,J2,3100.3004,-122.38757,47.68408,"(47.68408, -122.38757)","DOA - CASUALTY, DEAD BODY",PERSON DOWN/INJURY,CASUALTIES,5/21/17 18:27
2003395,17000179214,2017179214,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",5/21/17 20:32,92XX BLOCK OF 46 AV SW,W,W3,11600.5021,-122.39147,47.52042,"(47.52042, -122.39147)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,5/21/17 14:23
2003416,17000179502,2017179502,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",5/21/17 20:47,57XX BLOCK OF 22 AV NW,B,B1,4700.4005,-122.38474,47.670547,"(47.670547, -122.38474)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,5/21/17 17:32
2027708,17000223797,2017223797,291,PERSON WITH A GUN,GUN CALLS,WEAPONS CALLS,6/21/17 22:53,58XX BLOCK OF LAKE WASHINGTON BV S,R,R3,10200.2034,-122.25807,47.550617,"(47.550617, -122.25807)",SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,WEAPONS CALLS,GUN CALLS,6/21/17 18:23
1910805,17000004675,20174675,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,1/5/17 3:15,21XX BLOCK OF 26 AV S,R,R2,9500.2056,-122.29902,47.58436,"(47.58436, -122.29902)","DOA - CASUALTY, DEAD BODY",PERSON DOWN/INJURY,CASUALTIES,1/4/17 20:59
1979959,17000136199,2017136199,43,"ASSAULTS, FIREARM INVOLVED",GUN CALLS,ASSAULTS,4/19/17 10:04,19XX BLOCK OF NE PACIFIC ST,U,U2,5302.2019,-122.30912,47.651302,"(47.651302, -122.30912)",ASLT - IP/JO - PERSON SHOT OR SHOT AT,ASSAULTS,GUN CALLS,4/19/17 2:55
2015503,17000201528,2017201528,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,6/6/17 0:58,3XX BLOCK OF 9 AV,G,G1,8500.3001,-122.32344,47.60413,"(47.60413, -122.32344)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,6/5/17 21:22
1945684,17000071770,201771770,43,"ASSAULTS, FIREARM INVOLVED",GUN CALLS,ASSAULTS,2/27/17 17:02,S SPOKANE ST / 1 AV S,O,O1,9300.3061,-122.3342,47.571705,"(47.571705, -122.3342)",SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,WEAPONS CALLS,GUN CALLS,
1910833,17000004855,20174855,43,"ASSAULTS, FIREARM INVOLVED",GUN CALLS,ASSAULTS,1/5/17 4:26,3XX BLOCK OF 9 AV,G,G1,8500.3001,-122.32344,47.60413,"(47.60413, -122.32344)",ASLT - IP/JO - PERSON SHOT OR SHOT AT,ASSAULTS,GUN CALLS,1/5/17 0:18
2003560,17000179772,2017179772,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,5/22/17 0:49,3XX BLOCK OF 9 AV,G,G1,8500.3001,-122.32344,47.60413,"(47.60413, -122.32344)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,5/21/17 21:20
2039411,17000244783,2017244783,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,7/6/17 19:29,5XX BLOCK OF SUMMIT AV E,E,E1,7401.1005,-122.32532,47.623714,"(47.623714, -122.32532)","DOA - CASUALTY, DEAD BODY",PERSON DOWN/INJURY,CASUALTIES,7/6/17 13:15
1922667,17000027332,201727332,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,1/23/17 14:37,15XX BLOCK OF 3 AV,M,M3,8100.2009,-122.33825,47.610245,"(47.610245, -122.33825)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,1/23/17 10:17
2063801,17000288862,2017288862,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,8/6/17 6:13,15XX BLOCK OF 10 AV,E,E2,7500.4015,-122.31946,47.614666,"(47.614666, -122.31946)",FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,8/5/17 23:42
2076277,17000311544,2017311544,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",8/23/17 3:42,43XX BLOCK OF WOODLAND PARK AV N,B,B3,5000.3019,-122.34458,47.659386,"(47.659386, -122.34458)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",8/23/17 1:17
1934039,17000053540,201753540,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,2/13/17 10:08,4XX BLOCK OF BROADWAY E,E,E1,7401.2004,-122.320915,47.62256,"(47.62256, -122.320915)",DOWN - CHECK FOR PERSON DOWN,PERSON DOWN/INJURY,CASUALTIES,2/13/17 9:29
1934018,17000053583,201753583,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",2/13/17 12:04,1 AV / VIRGINIA ST,M,M1,8002.1004,-122.34261,47.611065,"(47.611065, -122.34261)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",2/13/17 10:05
2015529,17000200964,2017200964,10,HOMICIDE,HOMICIDE,HOMICIDE,6/6/17 2:09,SR509 SB / S CLOVERDALE ST,F,F3,11300.1014,-122.33375,47.526672,"(47.526672, -122.33375)","DOA - CASUALTY, DEAD BODY",PERSON DOWN/INJURY,CASUALTIES,6/5/17 13:14
2051469,17000266978,2017266978,292,PERSON WITH A WEAPON (NOT GUN),WEAPONS CALLS,WEAPONS CALLS,7/22/17 0:04,MERIDIAN AV N / N 105 ST,N,N3,1200.5011,-122.33393,47.705036,"(47.705036, -122.33393)","WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",WEAPONS CALLS,WEAPONS CALLS,
2076562,17000312252,2017312252,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",8/23/17 15:05,38XX BLOCK OF S MYRTLE ST,S,S1,11001.2007,-122.28314,47.538883,"(47.538883, -122.28314)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",
2063799,17000289122,2017289122,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",8/6/17 6:04,S ORCAS ST / M L KING JR WY S,S,S1,10401.2027,-122.28809,47.551228,"(47.551228, -122.28809)",PROPERTY - DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,8/6/17 4:24
1968147,17000114207,2017114207,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,4/1/17 20:05,92XX BLOCK OF RAINIER AV S,S,S3,11800.602,-122.26803,47.51985,"(47.51985, -122.26803)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,4/1/17 18:06
1945806,17000071978,201771978,291,PERSON WITH A GUN,GUN CALLS,WEAPONS CALLS,2/27/17 20:27,69XX BLOCK OF S 115 ST,S,S3,11900.2021,-122.247604,47.499725,"(47.499725, -122.247604)",SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,WEAPONS CALLS,GUN CALLS,
2015651,17000201932,2017201932,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,6/6/17 9:13,15XX BLOCK OF BROADWAY,E,E2,8400.1007,-122.32079,47.614655,"(47.614655, -122.32079)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,6/6/17 7:29
1922532,17000027317,201727317,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,1/23/17 11:25,6XX BLOCK OF 3 AV,K,K1,8100.204,-122.33173,47.603127,"(47.603127, -122.33173)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,1/23/17 10:12
1934095,17000053413,201753413,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,2/13/17 9:19,16XX BLOCK OF E OLIVE WY,E,E1,7402.1006,-122.32483,47.619274,"(47.619274, -122.32483)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,2/13/17 7:14
2003517,17000179816,2017179816,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",5/21/17 23:27,40XX BLOCK OF S HOLLY ST,S,S2,11101.4017,-122.28172,47.542442,"(47.542442, -122.28172)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",5/21/17 22:24
1968233,17000114480,2017114480,291,PERSON WITH A GUN,GUN CALLS,WEAPONS CALLS,4/1/17 22:41,34XX BLOCK OF 14 AV S,R,R1,10002.1019,-122.31482,47.573055,"(47.573055, -122.31482)",SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,WEAPONS CALLS,GUN CALLS,
1991777,17000158230,2017158230,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,5/6/17 2:00,14XX BLOCK OF 4 AV,M,M3,8100.2011,-122.33623,47.60972,"(47.60972, -122.33623)",DOWN - CHECK FOR PERSON DOWN,PERSON DOWN/INJURY,CASUALTIES,
2015398,17000201451,2017201451,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",6/5/17 22:22,15XX BLOCK OF E OLIN PL,C,C2,6200.3001,-122.31271,47.63539,"(47.63539, -122.31271)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",6/5/17 20:00
2015399,17000201449,2017201449,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",6/5/17 22:18,32XX BLOCK OF NE 75 ST,U,U3,2400.302,-122.29317,47.68305,"(47.68305, -122.29317)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",6/5/17 20:45
1980160,17000136941,2017136941,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",4/19/17 17:34,9XX BLOCK OF N 71 ST,J,J3,2800.3009,-122.34623,47.680305,"(47.680305, -122.34623)",TRU - HARASSMENT,"THREATS, HARASSMENT","THREATS, HARASSMENT",
1910880,17000004971,20174971,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,1/5/17 7:57,1 AV / CHERRY ST,K,K1,8100.1035,-122.33428,47.602554,"(47.602554, -122.33428)",ROBBERY (INCLUDES STRONG ARM),ROBBERY,ROBBERY,1/5/17 4:23
1968153,17000114352,2017114352,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,4/1/17 20:26,41XX BLOCK OF SW ALASKA ST,W,W2,10500.4002,-122.384796,47.5611,"(47.5611, -122.384796)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,
